enc_class	enc_method	exp	kind	class	method	param	index	uri
fw.Main#$@$#main(java.lang.String[])#$@$#new Test().run#$@$#METHOD	fw.Test	run()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/Test.java
fw.Main#$@$#main(java.lang.String[])#$@$#e.printStackTrace#$@$#METHOD	java.lang.Throwable	printStackTrace()	null	null	null
fw.Log$AssertionException#$@$#AssertionException(java.lang.String)#$@$#message#$@$#PARAMETER	fw.Log$AssertionException	AssertionException(java.lang.String)	message	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/Log.java
fw.Log#$@$#success(java.lang.String,java.lang.Object[])#$@$#System.out.printf#$@$#METHOD	java.io.PrintStream	printf(java.lang.String,java.lang.Object[])	null	null	null
fw.Log#$@$#success(java.lang.String,java.lang.Object[])#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
fw.Log#$@$#success(java.lang.String,java.lang.Object[])#$@$#value#$@$#PARAMETER	fw.Log	success(java.lang.String,java.lang.Object[])	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/Log.java
fw.Log#$@$#success(java.lang.String,java.lang.Object[])#$@$#args#$@$#PARAMETER	fw.Log	success(java.lang.String,java.lang.Object[])	args	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/Log.java
fw.Log#$@$#error(java.lang.String,java.lang.Object[])#$@$#System.out.printf#$@$#METHOD	java.io.PrintStream	printf(java.lang.String,java.lang.Object[])	null	null	null
fw.Log#$@$#error(java.lang.String,java.lang.Object[])#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
fw.Log#$@$#error(java.lang.String,java.lang.Object[])#$@$#value#$@$#PARAMETER	fw.Log	error(java.lang.String,java.lang.Object[])	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/Log.java
fw.Log#$@$#error(java.lang.String,java.lang.Object[])#$@$#args#$@$#PARAMETER	fw.Log	error(java.lang.String,java.lang.Object[])	args	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/Log.java
fw.Log#$@$#error(java.lang.String,java.lang.Object[])#$@$#String.format#$@$#METHOD	java.lang.String	format(java.lang.String,java.lang.Object[])	null	null	null
fw.Log#$@$#error(java.lang.String,java.lang.Object[])#$@$#value#$@$#PARAMETER	fw.Log	error(java.lang.String,java.lang.Object[])	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/Log.java
fw.Log#$@$#error(java.lang.String,java.lang.Object[])#$@$#args#$@$#PARAMETER	fw.Log	error(java.lang.String,java.lang.Object[])	args	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/Log.java
fw.equality.ReferenceMatcher#$@$#ReferenceMatcher(java.lang.Object)#$@$#value#$@$#PARAMETER	fw.equality.ReferenceMatcher	ReferenceMatcher(java.lang.Object)	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/equality/ReferenceMatcher.java
fw.equality.ReferenceMatcher#$@$#ReferenceMatcher(java.lang.Object)#$@$#_value#$@$#FIELD	fw.equality.ReferenceMatcher	null	_value	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/equality/ReferenceMatcher.java
fw.equality.ReferenceMatcher#$@$#ReferenceMatcher(java.lang.Object)#$@$#value#$@$#PARAMETER	fw.equality.ReferenceMatcher	ReferenceMatcher(java.lang.Object)	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/equality/ReferenceMatcher.java
fw.equality.ReferenceMatcher#$@$#evaluate(java.lang.Object)#$@$#value#$@$#PARAMETER	fw.equality.ReferenceMatcher	evaluate(java.lang.Object)	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/equality/ReferenceMatcher.java
fw.equality.ReferenceMatcher#$@$#evaluate(java.lang.Object)#$@$#_value#$@$#FIELD	fw.equality.ReferenceMatcher	null	_value	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/equality/ReferenceMatcher.java
fw.equality.ReferenceMatcher#$@$#printSuccess(java.lang.Object)#$@$#Log.success#$@$#METHOD	fw.Log	success(java.lang.String,java.lang.Object[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/Log.java
fw.equality.ReferenceMatcher#$@$#printSuccess(java.lang.Object)#$@$#Integer.valueOf#$@$#METHOD	java.lang.Integer	valueOf(int)	null	null	null
fw.equality.ReferenceMatcher#$@$#printSuccess(java.lang.Object)#$@$#System.identityHashCode#$@$#METHOD	java.lang.System	identityHashCode(java.lang.Object)	null	null	null
fw.equality.ReferenceMatcher#$@$#printSuccess(java.lang.Object)#$@$#_value#$@$#FIELD	fw.equality.ReferenceMatcher	null	_value	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/equality/ReferenceMatcher.java
fw.equality.ReferenceMatcher#$@$#raiseFailure(java.lang.Object)#$@$#Log.error#$@$#METHOD	fw.Log	error(java.lang.String,java.lang.Object[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/Log.java
fw.equality.ReferenceMatcher#$@$#raiseFailure(java.lang.Object)#$@$#Integer.valueOf#$@$#METHOD	java.lang.Integer	valueOf(int)	null	null	null
fw.equality.ReferenceMatcher#$@$#raiseFailure(java.lang.Object)#$@$#System.identityHashCode#$@$#METHOD	java.lang.System	identityHashCode(java.lang.Object)	null	null	null
fw.equality.ReferenceMatcher#$@$#raiseFailure(java.lang.Object)#$@$#_value#$@$#FIELD	fw.equality.ReferenceMatcher	null	_value	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url49fd521e8b_Kineolyan_JSpec_tgz-pJ8-fw_MainJ8/src/fw/equality/ReferenceMatcher.java
fw.equality.ReferenceMatcher#$@$#raiseFailure(java.lang.Object)#$@$#Integer.valueOf#$@$#METHOD	java.lang.Integer	valueOf(int)	null	null	null
fw.equality.ReferenceMatcher#$@$#raiseFailure(java.lang.Object)#$@$#System.identityHashCode#$@$#METHOD	java.lang.System	identityHashCode(java.lang.Object)	null	null	null
