enc_class	enc_method	exp	kind	class	method	param	index	uri
martin.gui.Main#$@$#main(java.lang.String[])#$@$#quantumTeleport#$@$#METHOD	martin.gui.Main	quantumTeleport()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url416ee5b4ee_martinmarinov_HonProj_tgz-pJ8-martin_gui_MainJ8/src/martin/gui/Main.java
martin.gui.Main#$@$#quantumTeleport()#$@$#m.performReverse#$@$#METHOD	martin.quantum.SystemMatrix	performReverse(martin.operators.Operator[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url416ee5b4ee_martinmarinov_HonProj_tgz-pJ8-martin_gui_MainJ8/src/martin/quantum/SystemMatrix.java
martin.gui.Main#$@$#quantumTeleport()#$@$#m.performReverse#$@$#METHOD	martin.quantum.SystemMatrix	performReverse(martin.operators.Operator[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url416ee5b4ee_martinmarinov_HonProj_tgz-pJ8-martin_gui_MainJ8/src/martin/quantum/SystemMatrix.java
martin.gui.Main#$@$#quantumTeleport()#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.Object)	null	null	null
martin.gui.Main#$@$#quantumTeleport()#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
martin.gui.Main#$@$#AltQunatumTeleport()#$@$#Tools.logger.println#$@$#METHOD	java.io.PrintStream	println()	null	null	null
martin.gui.Main#$@$#AltQunatumTeleport()#$@$#martin.quantum.tools.Tools.logger#$@$#FIELD	martin.quantum.tools.Tools	null	logger	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url416ee5b4ee_martinmarinov_HonProj_tgz-pJ8-martin_gui_MainJ8/src/martin/quantum/tools/Tools.java
martin.gui.Main#$@$#AltQunatumTeleport()#$@$#Tools.logger.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
martin.gui.Main#$@$#AltQunatumTeleport()#$@$#martin.quantum.tools.Tools.logger#$@$#FIELD	martin.quantum.tools.Tools	null	logger	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url416ee5b4ee_martinmarinov_HonProj_tgz-pJ8-martin_gui_MainJ8/src/martin/quantum/tools/Tools.java
martin.gui.Main#$@$#AltQunatumTeleport()#$@$#m.performReverse#$@$#METHOD	martin.quantum.SystemMatrix	performReverse(martin.operators.Operator[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url416ee5b4ee_martinmarinov_HonProj_tgz-pJ8-martin_gui_MainJ8/src/martin/quantum/SystemMatrix.java
martin.gui.Main#$@$#AltQunatumTeleport()#$@$#m.performReverse#$@$#METHOD	martin.quantum.SystemMatrix	performReverse(martin.operators.Operator[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url416ee5b4ee_martinmarinov_HonProj_tgz-pJ8-martin_gui_MainJ8/src/martin/quantum/SystemMatrix.java
martin.gui.Main#$@$#AltQunatumTeleport()#$@$#Tools.logger.println#$@$#METHOD	java.io.PrintStream	println(java.lang.Object)	null	null	null
martin.gui.Main#$@$#AltQunatumTeleport()#$@$#martin.quantum.tools.Tools.logger#$@$#FIELD	martin.quantum.tools.Tools	null	logger	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url416ee5b4ee_martinmarinov_HonProj_tgz-pJ8-martin_gui_MainJ8/src/martin/quantum/tools/Tools.java
martin.gui.Main#$@$#moreComplicatedTest()#$@$#m.performReverse#$@$#METHOD	martin.quantum.SystemMatrix	performReverse(martin.operators.Operator[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url416ee5b4ee_martinmarinov_HonProj_tgz-pJ8-martin_gui_MainJ8/src/martin/quantum/SystemMatrix.java
martin.gui.Main#$@$#moreComplicatedTest()#$@$#m.performReverse#$@$#METHOD	martin.quantum.SystemMatrix	performReverse(martin.operators.Operator[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url416ee5b4ee_martinmarinov_HonProj_tgz-pJ8-martin_gui_MainJ8/src/martin/quantum/SystemMatrix.java
