enc_class	enc_method	exp	kind	class	method	param	index	uri
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#Common.getPrimes#$@$#METHOD	com.rmd.personal.projecteuler.Common	getPrimes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Common.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.problemList#$@$#FIELD	com.rmd.personal.projecteuler.Main	null	problemList	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this#$@$#FIELD	com.rmd.personal.projecteuler.Main	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.getProblemList().add#$@$#METHOD	java.util.List	add(E)	null	null	null
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.getProblemList#$@$#METHOD	com.rmd.personal.projecteuler.Main	getProblemList()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this#$@$#FIELD	com.rmd.personal.projecteuler.Main	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.getProblemList().add#$@$#METHOD	java.util.List	add(E)	null	null	null
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.getProblemList#$@$#METHOD	com.rmd.personal.projecteuler.Main	getProblemList()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this#$@$#FIELD	com.rmd.personal.projecteuler.Main	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.getProblemList().add#$@$#METHOD	java.util.List	add(E)	null	null	null
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.getProblemList#$@$#METHOD	com.rmd.personal.projecteuler.Main	getProblemList()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this#$@$#FIELD	com.rmd.personal.projecteuler.Main	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.getProblemList().add#$@$#METHOD	java.util.List	add(E)	null	null	null
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.getProblemList#$@$#METHOD	com.rmd.personal.projecteuler.Main	getProblemList()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this#$@$#FIELD	com.rmd.personal.projecteuler.Main	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.getProblemList().add#$@$#METHOD	java.util.List	add(E)	null	null	null
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.getProblemList#$@$#METHOD	com.rmd.personal.projecteuler.Main	getProblemList()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this#$@$#FIELD	com.rmd.personal.projecteuler.Main	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.getProblemList().add#$@$#METHOD	java.util.List	add(E)	null	null	null
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.getProblemList#$@$#METHOD	com.rmd.personal.projecteuler.Main	getProblemList()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this#$@$#FIELD	com.rmd.personal.projecteuler.Main	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.getProblemList().add#$@$#METHOD	java.util.List	add(E)	null	null	null
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.getProblemList#$@$#METHOD	com.rmd.personal.projecteuler.Main	getProblemList()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this#$@$#FIELD	com.rmd.personal.projecteuler.Main	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8/src/com/rmd/personal/projecteuler/Main.java
com.rmd.personal.projecteuler.Main#$@$#Main()#$@$#this.getProblemList().add#$@$#METHOD	java.util.List	add(E)	null	null	null
