enc_class	enc_method	exp	kind	class	method	param	index	uri
tui.Driver#$@$#main(java.lang.String[])#$@$#ImageIO.read#$@$#METHOD	javax.imageio.ImageIO	read(java.io.File)	null	null	null
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.environments#$@$#FIELD	darwin.control.Parameters	null	environments	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.initialDepth#$@$#FIELD	darwin.control.Parameters	null	initialDepth	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.populationSize#$@$#FIELD	darwin.control.Parameters	null	populationSize	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.migrationProbability#$@$#FIELD	darwin.control.Parameters	null	migrationProbability	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.migrationFactor#$@$#FIELD	darwin.control.Parameters	null	migrationFactor	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.migration#$@$#FIELD	darwin.control.Parameters	null	migration	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.selection#$@$#FIELD	darwin.control.Parameters	null	selection	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.nodeFactory#$@$#FIELD	darwin.control.Parameters	null	nodeFactory	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
tui.Driver#$@$#main(java.lang.String[])#$@$#DARWIN_SHEET.getNodeFactory#$@$#METHOD	darwin.problemObject.DarwinSheet	getNodeFactory()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/problemObject/DarwinSheet.java
tui.Driver#$@$#main(java.lang.String[])#$@$#parameters.fitnessAnalyzer#$@$#FIELD	darwin.control.Parameters	null	fitnessAnalyzer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/control/Parameters.java
