enc_class	enc_method	exp	kind	class	method	param	index	uri
stv6.http.HttpServer#$@$#HttpServer(int)#$@$#running#$@$#FIELD	stv6.http.HttpServer	null	running	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/HttpServer.java
stv6.http.HttpServer#$@$#HttpServer(int)#$@$#setPort#$@$#METHOD	stv6.http.HttpServer	setPort(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/HttpServer.java
stv6.http.HttpServer#$@$#HttpServer(int)#$@$#port#$@$#PARAMETER	stv6.http.HttpServer	HttpServer(int)	port	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/HttpServer.java
stv6.http.HttpServer#$@$#HttpServer(int)#$@$#clients#$@$#FIELD	stv6.http.HttpServer	null	clients	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/HttpServer.java
stv6.http.HttpServer#$@$#HttpServer(int)#$@$#responder#$@$#FIELD	stv6.http.HttpServer	null	responder	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/HttpServer.java
stv6.http.HttpServer#$@$#HttpServer(int)#$@$#getHandlerManager#$@$#METHOD	stv6.http.HttpServer	getHandlerManager()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/HttpServer.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp.setStatus#$@$#METHOD	stv6.http.request.Response	setStatus(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/request/Response.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp#$@$#PARAMETER	stv6.http.HttpServer	generate404(stv6.http.request.Response)	resp	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/HttpServer.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp.setContentType#$@$#METHOD	stv6.http.request.Response	setContentType(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/request/Response.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp#$@$#PARAMETER	stv6.http.HttpServer	generate404(stv6.http.request.Response)	resp	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/HttpServer.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp.append#$@$#METHOD	stv6.http.request.Response	append(java.lang.CharSequence)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/request/Response.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp#$@$#PARAMETER	stv6.http.HttpServer	generate404(stv6.http.request.Response)	resp	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/HttpServer.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp.append#$@$#METHOD	stv6.http.request.Response	append(java.lang.CharSequence)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/request/Response.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp#$@$#PARAMETER	stv6.http.HttpServer	generate404(stv6.http.request.Response)	resp	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/HttpServer.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp.append#$@$#METHOD	stv6.http.request.Response	append(java.lang.CharSequence)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/request/Response.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp#$@$#PARAMETER	stv6.http.HttpServer	generate404(stv6.http.request.Response)	resp	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/HttpServer.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp.append#$@$#METHOD	stv6.http.request.Response	append(java.lang.CharSequence)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/request/Response.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp#$@$#PARAMETER	stv6.http.HttpServer	generate404(stv6.http.request.Response)	resp	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/HttpServer.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp.append#$@$#METHOD	stv6.http.request.Response	append(java.lang.CharSequence)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/request/Response.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp#$@$#PARAMETER	stv6.http.HttpServer	generate404(stv6.http.request.Response)	resp	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/HttpServer.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp.append#$@$#METHOD	stv6.http.request.Response	append(java.lang.CharSequence)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/request/Response.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp#$@$#PARAMETER	stv6.http.HttpServer	generate404(stv6.http.request.Response)	resp	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/HttpServer.java
stv6.http.HttpServer#$@$#generate404(stv6.http.request.Response)#$@$#resp.append#$@$#METHOD	stv6.http.request.Response	append(java.lang.CharSequence)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/http/request/Response.java
