enc_class	enc_method	exp	kind	class	method	param	index	uri
com.andreev.parking.logic.ParkingList#$@$#getInstence()#$@$#com.andreev.parking.logic.ParkingList$ParkingListHolder.PARKING_LIST#$@$#FIELD	com.andreev.parking.logic.ParkingList$ParkingListHolder	null	PARKING_LIST	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/logic/ParkingList.java
com.andreev.parking.logic.ParkingList#$@$#addParking(com.andreev.parking.model.Parking)#$@$#list.add#$@$#METHOD	java.util.List	add(E)	null	null	null
com.andreev.parking.logic.ParkingList#$@$#addParking(com.andreev.parking.model.Parking)#$@$#list#$@$#FIELD	com.andreev.parking.logic.ParkingList	null	list	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/logic/ParkingList.java
com.andreev.parking.logic.ParkingList#$@$#addParking(com.andreev.parking.model.Parking)#$@$#parking#$@$#PARAMETER	com.andreev.parking.logic.ParkingList	addParking(com.andreev.parking.model.Parking)	parking	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/logic/ParkingList.java
com.andreev.parking.logic.ParkingList#$@$#addParking(java.util.List)#$@$#list.addAll#$@$#METHOD	java.util.List	addAll(java.util.Collection)	null	null	null
com.andreev.parking.logic.ParkingList#$@$#addParking(java.util.List)#$@$#list#$@$#FIELD	com.andreev.parking.logic.ParkingList	null	list	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/logic/ParkingList.java
com.andreev.parking.logic.ParkingList#$@$#addParking(java.util.List)#$@$#parkings#$@$#PARAMETER	com.andreev.parking.logic.ParkingList	addParking(java.util.List)	parkings	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/logic/ParkingList.java
com.andreev.parking.logic.ParkingList#$@$#removeParking(com.andreev.parking.model.Parking)#$@$#list.remove#$@$#METHOD	java.util.List	remove(java.lang.Object)	null	null	null
com.andreev.parking.logic.ParkingList#$@$#removeParking(com.andreev.parking.model.Parking)#$@$#list#$@$#FIELD	com.andreev.parking.logic.ParkingList	null	list	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/logic/ParkingList.java
com.andreev.parking.logic.ParkingList#$@$#removeParking(com.andreev.parking.model.Parking)#$@$#parking#$@$#PARAMETER	com.andreev.parking.logic.ParkingList	removeParking(com.andreev.parking.model.Parking)	parking	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/logic/ParkingList.java
com.andreev.parking.logic.ParkingList#$@$#iterator()#$@$#list.iterator#$@$#METHOD	java.util.List	iterator()	null	null	null
com.andreev.parking.logic.ParkingList#$@$#iterator()#$@$#list#$@$#FIELD	com.andreev.parking.logic.ParkingList	null	list	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/logic/ParkingList.java
com.andreev.parking.model.Parking#$@$#getId()#$@$#id#$@$#FIELD	com.andreev.parking.model.Parking	null	id	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Parking.java
com.andreev.parking.model.Parking#$@$#setId(int)#$@$#id#$@$#PARAMETER	com.andreev.parking.model.Parking	setId(int)	id	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Parking.java
com.andreev.parking.model.Parking#$@$#setId(int)#$@$#this.id#$@$#FIELD	com.andreev.parking.model.Parking	null	id	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Parking.java
com.andreev.parking.model.Parking#$@$#setId(int)#$@$#this#$@$#FIELD	com.andreev.parking.model.Parking	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Parking.java
com.andreev.parking.model.Parking#$@$#setId(int)#$@$#id#$@$#PARAMETER	com.andreev.parking.model.Parking	setId(int)	id	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Parking.java
com.andreev.parking.model.Parking#$@$#setPlacePool(com.andreev.parking.model.ParkingPlacePool)#$@$#placePool#$@$#PARAMETER	com.andreev.parking.model.Parking	setPlacePool(com.andreev.parking.model.ParkingPlacePool)	placePool	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Parking.java
com.andreev.parking.model.Parking#$@$#setPlacePool(com.andreev.parking.model.ParkingPlacePool)#$@$#this.placePool#$@$#FIELD	com.andreev.parking.model.Parking	null	placePool	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Parking.java
com.andreev.parking.model.Parking#$@$#setPlacePool(com.andreev.parking.model.ParkingPlacePool)#$@$#this#$@$#FIELD	com.andreev.parking.model.Parking	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Parking.java
com.andreev.parking.model.Parking#$@$#setPlacePool(com.andreev.parking.model.ParkingPlacePool)#$@$#placePool#$@$#PARAMETER	com.andreev.parking.model.Parking	setPlacePool(com.andreev.parking.model.ParkingPlacePool)	placePool	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Parking.java
com.andreev.parking.model.Parking#$@$#getPlacePool()#$@$#placePool#$@$#FIELD	com.andreev.parking.model.Parking	null	placePool	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Parking.java
com.andreev.parking.model.Parking#$@$#toString()#$@$#sb.append#$@$#METHOD	java.lang.StringBuilder	append(java.lang.String)	null	null	null
com.andreev.parking.model.Parking#$@$#toString()#$@$#getClass().getSimpleName#$@$#METHOD	java.lang.Class	getSimpleName()	null	null	null
com.andreev.parking.model.Parking#$@$#toString()#$@$#getClass#$@$#METHOD	java.lang.Object	getClass()	null	null	null
com.andreev.parking.model.Parking#$@$#toString()#$@$#sb.append#$@$#METHOD	java.lang.StringBuilder	append(java.lang.String)	null	null	null
com.andreev.parking.model.Parking#$@$#toString()#$@$#getId#$@$#METHOD	com.andreev.parking.model.Parking	getId()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Parking.java
com.andreev.parking.model.Parking#$@$#toString()#$@$#sb.toString#$@$#METHOD	java.lang.StringBuilder	toString()	null	null	null
com.andreev.parking.model.ParkingPlacePool#$@$#ParkingPlacePool(java.util.List)#$@$#this.SIZE#$@$#FIELD	com.andreev.parking.model.ParkingPlacePool	null	SIZE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
