enc_class	enc_method	exp	kind	class	method	param	index	uri
cz.dusanrychnovsky.AppTest#$@$#AppTest(java.lang.String)#$@$#testName#$@$#PARAMETER	cz.dusanrychnovsky.AppTest	AppTest(java.lang.String)	testName	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url9d32402837_dusan_rychnovsky_chess_endgames_tgz-pJ8-cz_dusanrychnovsky_chessendgames_core_strategies_PrecomputedValuesJ8/src/cz/dusanrychnovsky/AppTest.java
cz.dusanrychnovsky.AppTest#$@$#suite()#$@$#cz.dusanrychnovsky.AppTest.class#$@$#FIELD	cz.dusanrychnovsky.AppTest	null	class	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url9d32402837_dusan_rychnovsky_chess_endgames_tgz-pJ8-cz_dusanrychnovsky_chessendgames_core_strategies_PrecomputedValuesJ8/src/cz/dusanrychnovsky/AppTest.java
cz.dusanrychnovsky.AppTest#$@$#testApp()#$@$#assertTrue#$@$#METHOD	junit.framework.TestCase	assertTrue(boolean)	null	null	null
cz.dusanrychnovsky.chessendgames.core.Player#$@$#get(cz.dusanrychnovsky.chessendgames.core.Player.Color)#$@$#color.equals#$@$#METHOD	java.lang.Enum	equals(java.lang.Object)	null	null	null
cz.dusanrychnovsky.chessendgames.core.Player#$@$#get(cz.dusanrychnovsky.chessendgames.core.Player.Color)#$@$#color#$@$#PARAMETER	cz.dusanrychnovsky.chessendgames.core.Player	get(cz.dusanrychnovsky.chessendgames.core.Player.Color)	color	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url9d32402837_dusan_rychnovsky_chess_endgames_tgz-pJ8-cz_dusanrychnovsky_chessendgames_core_strategies_PrecomputedValuesJ8/src/cz/dusanrychnovsky/chessendgames/core/Player.java
cz.dusanrychnovsky.chessendgames.core.Player#$@$#get(cz.dusanrychnovsky.chessendgames.core.Player.Color)#$@$#cz.dusanrychnovsky.chessendgames.core.Player.whitePlayer#$@$#FIELD	cz.dusanrychnovsky.chessendgames.core.Player	null	whitePlayer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url9d32402837_dusan_rychnovsky_chess_endgames_tgz-pJ8-cz_dusanrychnovsky_chessendgames_core_strategies_PrecomputedValuesJ8/src/cz/dusanrychnovsky/chessendgames/core/Player.java
cz.dusanrychnovsky.chessendgames.core.Player#$@$#get(cz.dusanrychnovsky.chessendgames.core.Player.Color)#$@$#color.equals#$@$#METHOD	java.lang.Enum	equals(java.lang.Object)	null	null	null
cz.dusanrychnovsky.chessendgames.core.Player#$@$#get(cz.dusanrychnovsky.chessendgames.core.Player.Color)#$@$#color#$@$#PARAMETER	cz.dusanrychnovsky.chessendgames.core.Player	get(cz.dusanrychnovsky.chessendgames.core.Player.Color)	color	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url9d32402837_dusan_rychnovsky_chess_endgames_tgz-pJ8-cz_dusanrychnovsky_chessendgames_core_strategies_PrecomputedValuesJ8/src/cz/dusanrychnovsky/chessendgames/core/Player.java
cz.dusanrychnovsky.chessendgames.core.Player#$@$#get(cz.dusanrychnovsky.chessendgames.core.Player.Color)#$@$#cz.dusanrychnovsky.chessendgames.core.Player.blackPlayer#$@$#FIELD	cz.dusanrychnovsky.chessendgames.core.Player	null	blackPlayer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url9d32402837_dusan_rychnovsky_chess_endgames_tgz-pJ8-cz_dusanrychnovsky_chessendgames_core_strategies_PrecomputedValuesJ8/src/cz/dusanrychnovsky/chessendgames/core/Player.java
cz.dusanrychnovsky.chessendgames.core.Player#$@$#get(cz.dusanrychnovsky.chessendgames.core.Player.Color)#$@$#color#$@$#PARAMETER	cz.dusanrychnovsky.chessendgames.core.Player	get(cz.dusanrychnovsky.chessendgames.core.Player.Color)	color	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url9d32402837_dusan_rychnovsky_chess_endgames_tgz-pJ8-cz_dusanrychnovsky_chessendgames_core_strategies_PrecomputedValuesJ8/src/cz/dusanrychnovsky/chessendgames/core/Player.java
cz.dusanrychnovsky.chessendgames.core.Player#$@$#Player(cz.dusanrychnovsky.chessendgames.core.Player.Color)#$@$#this.color#$@$#FIELD	cz.dusanrychnovsky.chessendgames.core.Player	null	color	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url9d32402837_dusan_rychnovsky_chess_endgames_tgz-pJ8-cz_dusanrychnovsky_chessendgames_core_strategies_PrecomputedValuesJ8/src/cz/dusanrychnovsky/chessendgames/core/Player.java
