enc_class	enc_method	exp	kind	class	method	param	index	uri
es.dagaren.gladiator.main.Main#$@$#main(java.lang.String[])#$@$#args.length#$@$#FIELD	Array	null	length	null	null
es.dagaren.gladiator.main.Main#$@$#main(java.lang.String[])#$@$#args#$@$#PARAMETER	es.dagaren.gladiator.main.Main	main(java.lang.String[])	args	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/main/Main.java
es.dagaren.gladiator.main.Main#$@$#main(java.lang.String[])#$@$#args#$@$#PARAMETER	es.dagaren.gladiator.main.Main	main(java.lang.String[])	args	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/main/Main.java
es.dagaren.gladiator.main.Main#$@$#main(java.lang.String[])#$@$#arg.equalsIgnoreCase#$@$#METHOD	java.lang.String	equalsIgnoreCase(java.lang.String)	null	null	null
es.dagaren.gladiator.main.Main#$@$#main(java.lang.String[])#$@$#executeEvaluatePosition#$@$#METHOD	es.dagaren.gladiator.main.Main	executeEvaluatePosition(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/main/Main.java
es.dagaren.gladiator.main.Main#$@$#main(java.lang.String[])#$@$#args#$@$#PARAMETER	es.dagaren.gladiator.main.Main	main(java.lang.String[])	args	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/main/Main.java
es.dagaren.gladiator.main.Main#$@$#main(java.lang.String[])#$@$#executeXboard#$@$#METHOD	es.dagaren.gladiator.main.Main	executeXboard()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/main/Main.java
es.dagaren.gladiator.main.Main#$@$#executeEvaluatePosition(java.lang.String)#$@$#position.loadFen#$@$#METHOD	es.dagaren.gladiator.representation.Position	loadFen(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Position.java
es.dagaren.gladiator.main.Main#$@$#executeEvaluatePosition(java.lang.String)#$@$#fen#$@$#PARAMETER	es.dagaren.gladiator.main.Main	executeEvaluatePosition(java.lang.String)	fen	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/main/Main.java
es.dagaren.gladiator.main.Main#$@$#executeEvaluatePosition(java.lang.String)#$@$#System.err.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
es.dagaren.gladiator.main.Main#$@$#executeEvaluatePosition(java.lang.String)#$@$#java.lang.System.err#$@$#FIELD	java.lang.System	null	err	null	null
