enc_class	enc_method	exp	kind	class	method	param	index	uri
com.strategy.api.interpreter.InterpreterManager#$@$#scheduleInterpreter(java.lang.Thread)#$@$#scheduler.scheduleWithFixedDelay#$@$#METHOD	java.util.concurrent.ScheduledExecutorService	scheduleWithFixedDelay(java.lang.Runnable,long,long,java.util.concurrent.TimeUnit)	null	null	null
com.strategy.api.interpreter.InterpreterManager#$@$#scheduleInterpreter(java.lang.Thread)#$@$#com.strategy.api.interpreter.InterpreterManager.scheduler#$@$#FIELD	com.strategy.api.interpreter.InterpreterManager	null	scheduler	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/InterpreterManager.java
com.strategy.api.interpreter.InterpreterManager#$@$#scheduleInterpreter(java.lang.Thread)#$@$#interpreter#$@$#PARAMETER	com.strategy.api.interpreter.InterpreterManager	scheduleInterpreter(java.lang.Thread)	interpreter	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/InterpreterManager.java
com.strategy.api.interpreter.InterpreterManager#$@$#exit()#$@$#scheduler.shutdown#$@$#METHOD	java.util.concurrent.ExecutorService	shutdown()	null	null	null
com.strategy.api.interpreter.InterpreterManager#$@$#exit()#$@$#com.strategy.api.interpreter.InterpreterManager.scheduler#$@$#FIELD	com.strategy.api.interpreter.InterpreterManager	null	scheduler	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/InterpreterManager.java
com.strategy.api.interpreter.GtpInterpreter#$@$#GtpInterpreter()#$@$#this.scanner#$@$#FIELD	com.strategy.api.interpreter.GtpInterpreter	null	scanner	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#GtpInterpreter()#$@$#this#$@$#FIELD	com.strategy.api.interpreter.GtpInterpreter	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#GtpInterpreter()#$@$#java.lang.System.in#$@$#FIELD	java.lang.System	null	in	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#run()#$@$#System.err.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#run()#$@$#java.lang.System.err#$@$#FIELD	java.lang.System	null	err	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#run()#$@$#scanner.nextLine#$@$#METHOD	java.util.Scanner	nextLine()	null	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#run()#$@$#scanner#$@$#FIELD	com.strategy.api.interpreter.GtpInterpreter	null	scanner	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#readIndex(java.lang.String,com.strategy.api.board.Board)#$@$#board.getRows#$@$#METHOD	com.strategy.api.board.Board	getRows()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.api.interpreter.GtpInterpreter#$@$#readIndex(java.lang.String,com.strategy.api.board.Board)#$@$#board#$@$#PARAMETER	com.strategy.api.interpreter.GtpInterpreter	readIndex(java.lang.String,com.strategy.api.board.Board)	board	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#readIndex(java.lang.String,com.strategy.api.board.Board)#$@$#board.getColumns#$@$#METHOD	com.strategy.api.board.Board	getColumns()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.api.interpreter.GtpInterpreter#$@$#readIndex(java.lang.String,com.strategy.api.board.Board)#$@$#board#$@$#PARAMETER	com.strategy.api.interpreter.GtpInterpreter	readIndex(java.lang.String,com.strategy.api.board.Board)	board	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#readIndex(java.lang.String,com.strategy.api.board.Board)#$@$#Integer.parseInt#$@$#METHOD	java.lang.Integer	parseInt(java.lang.String)	null	null	null
com.strategy.api.interpreter.GtpInterpreter#$@$#readIndex(java.lang.String,com.strategy.api.board.Board)#$@$#line#$@$#PARAMETER	com.strategy.api.interpreter.GtpInterpreter	readIndex(java.lang.String,com.strategy.api.board.Board)	line	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/GtpInterpreter.java
com.strategy.api.interpreter.GtpInterpreter#$@$#readHgfIndex(java.lang.String,com.strategy.api.board.Board)#$@$#RowConstant.parseToConstant#$@$#METHOD	com.strategy.util.RowConstant	parseToConstant(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/RowConstant.java
com.strategy.api.interpreter.GtpInterpreter#$@$#readHgfIndex(java.lang.String,com.strategy.api.board.Board)#$@$#line.substring#$@$#METHOD	java.lang.String	substring(int,int)	null	null	null
