enc_class	enc_method	exp	kind	class	method	param	index	uri
org.argparser.ArgParserTest#$@$#verify(boolean,java.lang.String)#$@$#ok#$@$#PARAMETER	org.argparser.ArgParserTest	verify(boolean,java.lang.String)	ok	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest#$@$#verify(boolean,java.lang.String)#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
org.argparser.ArgParserTest#$@$#verify(boolean,java.lang.String)#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
org.argparser.ArgParserTest#$@$#verify(boolean,java.lang.String)#$@$#msg#$@$#PARAMETER	org.argparser.ArgParserTest	verify(boolean,java.lang.String)	msg	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest#$@$#verify(boolean,java.lang.String)#$@$#e.printStackTrace#$@$#METHOD	java.lang.Throwable	printStackTrace()	null	null	null
org.argparser.ArgParserTest#$@$#verify(boolean,java.lang.String)#$@$#System.exit#$@$#METHOD	java.lang.System	exit(int)	null	null	null
org.argparser.ArgParserTest#$@$#argsFromString(java.lang.String)#$@$#ArgParser.stringToArgs#$@$#METHOD	org.argparser.ArgParser	stringToArgs(java.util.Vector,java.lang.String,boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParser.java
org.argparser.ArgParserTest#$@$#argsFromString(java.lang.String)#$@$#s#$@$#PARAMETER	org.argparser.ArgParserTest	argsFromString(java.lang.String)	s	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest#$@$#argsFromString(java.lang.String)#$@$#e.printStackTrace#$@$#METHOD	java.lang.Throwable	printStackTrace()	null	null	null
org.argparser.ArgParserTest#$@$#argsFromString(java.lang.String)#$@$#System.exit#$@$#METHOD	java.lang.System	exit(int)	null	null	null
org.argparser.ArgParserTest#$@$#argsFromString(java.lang.String)#$@$#vec.size#$@$#METHOD	java.util.Vector	size()	null	null	null
org.argparser.ArgParserTest#$@$#argsFromString(java.lang.String)#$@$#vec.size#$@$#METHOD	java.util.Vector	size()	null	null	null
org.argparser.ArgParserTest#$@$#argsFromString(java.lang.String)#$@$#vec.get#$@$#METHOD	java.util.Vector	get(int)	null	null	null
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(java.lang.String)#$@$#low#$@$#FIELD	org.argparser.ArgParserTest$RngCheck	null	low	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(java.lang.String)#$@$#s#$@$#PARAMETER	org.argparser.ArgParserTest$RngCheck	RngCheck(java.lang.String)	s	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(java.lang.String)#$@$#org.argparser.ArgParserTest.CLOSED#$@$#FIELD	org.argparser.ArgParserTest	null	CLOSED	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(java.lang.String)#$@$#type#$@$#FIELD	org.argparser.ArgParserTest$RngCheck	null	type	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(double)#$@$#low#$@$#FIELD	org.argparser.ArgParserTest$RngCheck	null	low	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(double)#$@$#d#$@$#PARAMETER	org.argparser.ArgParserTest$RngCheck	RngCheck(double)	d	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(double)#$@$#org.argparser.ArgParserTest.CLOSED#$@$#FIELD	org.argparser.ArgParserTest	null	CLOSED	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(double)#$@$#type#$@$#FIELD	org.argparser.ArgParserTest$RngCheck	null	type	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(long)#$@$#low#$@$#FIELD	org.argparser.ArgParserTest$RngCheck	null	low	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(long)#$@$#l#$@$#PARAMETER	org.argparser.ArgParserTest$RngCheck	RngCheck(long)	l	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(long)#$@$#org.argparser.ArgParserTest.CLOSED#$@$#FIELD	org.argparser.ArgParserTest	null	CLOSED	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(long)#$@$#type#$@$#FIELD	org.argparser.ArgParserTest$RngCheck	null	type	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(boolean)#$@$#low#$@$#FIELD	org.argparser.ArgParserTest$RngCheck	null	low	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(boolean)#$@$#b#$@$#PARAMETER	org.argparser.ArgParserTest$RngCheck	RngCheck(boolean)	b	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(boolean)#$@$#org.argparser.ArgParserTest.CLOSED#$@$#FIELD	org.argparser.ArgParserTest	null	CLOSED	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(boolean)#$@$#type#$@$#FIELD	org.argparser.ArgParserTest$RngCheck	null	type	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(java.lang.String,boolean,java.lang.String,boolean)#$@$#low#$@$#FIELD	org.argparser.ArgParserTest$RngCheck	null	low	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(java.lang.String,boolean,java.lang.String,boolean)#$@$#s1#$@$#PARAMETER	org.argparser.ArgParserTest$RngCheck	RngCheck(java.lang.String,boolean,java.lang.String,boolean)	s1	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
org.argparser.ArgParserTest$RngCheck#$@$#RngCheck(java.lang.String,boolean,java.lang.String,boolean)#$@$#c1#$@$#PARAMETER	org.argparser.ArgParserTest$RngCheck	RngCheck(java.lang.String,boolean,java.lang.String,boolean)	c1	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url5681492665_ArgParser_Java_ArgParser_tgz-pJ8-org_argparser_ArgParserTestJ8/src/org/argparser/ArgParserTest.java
