enc_class	enc_method	exp	kind	class	method	param	index	uri
hobo.Main#$@$#main(java.lang.String[])#$@$#graphical#$@$#METHOD	hobo.Main	graphical()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url1f1de5fc71_cooijmanstim_hobo_tgz-pJ8-hobo_TestingEnviromentJ8/src/hobo/Main.java
hobo.Main#$@$#headless()#$@$#System.currentTimeMillis#$@$#METHOD	java.lang.System	currentTimeMillis()	null	null	null
hobo.Main#$@$#headless()#$@$#Player.fromConfiguration#$@$#METHOD	hobo.Player	fromConfiguration(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url1f1de5fc71_cooijmanstim_hobo_tgz-pJ8-hobo_TestingEnviromentJ8/src/hobo/Player.java
hobo.Main#$@$#headless()#$@$#Player.fromConfiguration#$@$#METHOD	hobo.Player	fromConfiguration(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url1f1de5fc71_cooijmanstim_hobo_tgz-pJ8-hobo_TestingEnviromentJ8/src/hobo/Player.java
hobo.Main#$@$#headless()#$@$#g.play#$@$#METHOD	hobo.Game	play()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url1f1de5fc71_cooijmanstim_hobo_tgz-pJ8-hobo_TestingEnviromentJ8/src/hobo/Game.java
hobo.Main#$@$#headless()#$@$#g.ndecisions#$@$#FIELD	hobo.Game	null	ndecisions	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url1f1de5fc71_cooijmanstim_hobo_tgz-pJ8-hobo_TestingEnviromentJ8/src/hobo/Game.java
hobo.Main#$@$#headless()#$@$#System.currentTimeMillis#$@$#METHOD	java.lang.System	currentTimeMillis()	null	null	null
hobo.Main#$@$#headless()#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(long)	null	null	null
hobo.Main#$@$#headless()#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
hobo.Main#$@$#headless()#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
hobo.Main#$@$#headless()#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
hobo.Main#$@$#textual()#$@$#g.registerObserver#$@$#METHOD	hobo.Game	registerObserver(hobo.GameObserver)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url1f1de5fc71_cooijmanstim_hobo_tgz-pJ8-hobo_TestingEnviromentJ8/src/hobo/Game.java
hobo.Main#$@$#textual()#$@$#g.play#$@$#METHOD	hobo.Game	play()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url1f1de5fc71_cooijmanstim_hobo_tgz-pJ8-hobo_TestingEnviromentJ8/src/hobo/Game.java
hobo.Main#$@$#graphical()#$@$#SwingUtilities.invokeLater#$@$#METHOD	javax.swing.SwingUtilities	invokeLater(java.lang.Runnable)	null	null	null
hobo.Main$1#$@$#run()#$@$#hasbeenrun#$@$#FIELD	hobo.Main$1	null	hasbeenrun	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url1f1de5fc71_cooijmanstim_hobo_tgz-pJ8-hobo_TestingEnviromentJ8/src/hobo/Main.java
hobo.Main$1#$@$#run()#$@$#hasbeenrun#$@$#FIELD	hobo.Main$1	null	hasbeenrun	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url1f1de5fc71_cooijmanstim_hobo_tgz-pJ8-hobo_TestingEnviromentJ8/src/hobo/Main.java
hobo.Main$1#$@$#run()#$@$#newGameFrame#$@$#FIELD	hobo.Main$1	null	newGameFrame	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url1f1de5fc71_cooijmanstim_hobo_tgz-pJ8-hobo_TestingEnviromentJ8/src/hobo/Main.java
hobo.Main$1#$@$#run()#$@$#setupNewGameFrame#$@$#METHOD	hobo.Main$1	setupNewGameFrame()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url1f1de5fc71_cooijmanstim_hobo_tgz-pJ8-hobo_TestingEnviromentJ8/src/hobo/Main.java
hobo.Main$1#$@$#run()#$@$#mainFrame#$@$#FIELD	hobo.Main$1	null	mainFrame	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url1f1de5fc71_cooijmanstim_hobo_tgz-pJ8-hobo_TestingEnviromentJ8/src/hobo/Main.java
hobo.Main$1#$@$#run()#$@$#b.addActionListener#$@$#METHOD	javax.swing.AbstractButton	addActionListener(java.awt.event.ActionListener)	null	null	null
hobo.Main$1$1#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#newGameFrame.setVisible#$@$#METHOD	java.awt.Window	setVisible(boolean)	null	null	null
hobo.Main$1$1#$@$#actionPerformed(java.awt.event.ActionEvent)#$@$#newGameFrame#$@$#FIELD	hobo.Main$1	null	newGameFrame	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url1f1de5fc71_cooijmanstim_hobo_tgz-pJ8-hobo_TestingEnviromentJ8/src/hobo/Main.java
hobo.Main$1#$@$#run()#$@$#mainFrame.add#$@$#METHOD	java.awt.Container	add(java.awt.Component,java.lang.Object)	null	null	null
