enc_class	enc_method	exp	kind	class	method	param	index	uri
net.katsuster.ememu.ui.Main#$@$#usage(java.lang.String[])#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
net.katsuster.ememu.ui.Main#$@$#usage(java.lang.String[])#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#opts.setKernelImage#$@$#METHOD	net.katsuster.ememu.ui.LinuxOption	setKernelImage(java.net.URI)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#opts.setInitrdImage#$@$#METHOD	net.katsuster.ememu.ui.LinuxOption	setInitrdImage(java.net.URI)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#opts.setCommandLine#$@$#METHOD	net.katsuster.ememu.ui.LinuxOption	setCommandLine(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args.length#$@$#FIELD	Array	null	length	null	null
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args#$@$#PARAMETER	net.katsuster.ememu.ui.Main	main(java.lang.String[])	args	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Main.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args[0].equals#$@$#METHOD	java.lang.String	equals(java.lang.Object)	null	null	null
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args#$@$#PARAMETER	net.katsuster.ememu.ui.Main	main(java.lang.String[])	args	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Main.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args[0].equals#$@$#METHOD	java.lang.String	equals(java.lang.Object)	null	null	null
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args#$@$#PARAMETER	net.katsuster.ememu.ui.Main	main(java.lang.String[])	args	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Main.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args[0].equals#$@$#METHOD	java.lang.String	equals(java.lang.Object)	null	null	null
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args#$@$#PARAMETER	net.katsuster.ememu.ui.Main	main(java.lang.String[])	args	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Main.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#usage#$@$#METHOD	net.katsuster.ememu.ui.Main	usage(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Main.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args#$@$#PARAMETER	net.katsuster.ememu.ui.Main	main(java.lang.String[])	args	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Main.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#opts.setKernelImage#$@$#METHOD	net.katsuster.ememu.ui.LinuxOption	setKernelImage(java.io.File)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args#$@$#PARAMETER	net.katsuster.ememu.ui.Main	main(java.lang.String[])	args	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Main.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#opts.setInitrdImage#$@$#METHOD	net.katsuster.ememu.ui.LinuxOption	setInitrdImage(java.io.File)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args.length#$@$#FIELD	Array	null	length	null	null
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args#$@$#PARAMETER	net.katsuster.ememu.ui.Main	main(java.lang.String[])	args	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Main.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#opts.setInitrdImage#$@$#METHOD	net.katsuster.ememu.ui.LinuxOption	setInitrdImage(java.io.File)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args#$@$#PARAMETER	net.katsuster.ememu.ui.Main	main(java.lang.String[])	args	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Main.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args.length#$@$#FIELD	Array	null	length	null	null
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args#$@$#PARAMETER	net.katsuster.ememu.ui.Main	main(java.lang.String[])	args	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Main.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#opts.setCommandLine#$@$#METHOD	net.katsuster.ememu.ui.LinuxOption	setCommandLine(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/LinuxOption.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#args#$@$#PARAMETER	net.katsuster.ememu.ui.Main	main(java.lang.String[])	args	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Main.java
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#w.setVisible#$@$#METHOD	java.awt.Window	setVisible(boolean)	null	null	null
net.katsuster.ememu.ui.Main#$@$#main(java.lang.String[])#$@$#mainConsole#$@$#METHOD	net.katsuster.ememu.ui.Main	mainConsole(net.katsuster.ememu.ui.LinuxOption)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Main.java
net.katsuster.ememu.ui.Main#$@$#mainConsole(net.katsuster.ememu.ui.LinuxOption)#$@$#emu.setOption#$@$#METHOD	net.katsuster.ememu.ui.Emulator	setOption(net.katsuster.ememu.ui.LinuxOption)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Emulator.java
net.katsuster.ememu.ui.Main#$@$#mainConsole(net.katsuster.ememu.ui.LinuxOption)#$@$#opts#$@$#PARAMETER	net.katsuster.ememu.ui.Main	mainConsole(net.katsuster.ememu.ui.LinuxOption)	opts	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Main.java
net.katsuster.ememu.ui.Main#$@$#mainConsole(net.katsuster.ememu.ui.LinuxOption)#$@$#emu.getBoard().setUARTInputStream#$@$#METHOD	net.katsuster.ememu.board.ARMVersatile	setUARTInputStream(int,java.io.InputStream)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/board/ARMVersatile.java
net.katsuster.ememu.ui.Main#$@$#mainConsole(net.katsuster.ememu.ui.LinuxOption)#$@$#emu.getBoard#$@$#METHOD	net.katsuster.ememu.ui.Emulator	getBoard()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Emulator.java
net.katsuster.ememu.ui.Main#$@$#mainConsole(net.katsuster.ememu.ui.LinuxOption)#$@$#java.lang.System.in#$@$#FIELD	java.lang.System	null	in	null	null
net.katsuster.ememu.ui.Main#$@$#mainConsole(net.katsuster.ememu.ui.LinuxOption)#$@$#emu.getBoard().setUARTOutputStream#$@$#METHOD	net.katsuster.ememu.board.ARMVersatile	setUARTOutputStream(int,java.io.OutputStream)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/board/ARMVersatile.java
net.katsuster.ememu.ui.Main#$@$#mainConsole(net.katsuster.ememu.ui.LinuxOption)#$@$#emu.getBoard#$@$#METHOD	net.katsuster.ememu.ui.Emulator	getBoard()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/ui/Emulator.java
net.katsuster.ememu.ui.Main#$@$#mainConsole(net.katsuster.ememu.ui.LinuxOption)#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
net.katsuster.ememu.ui.Main#$@$#mainConsole(net.katsuster.ememu.ui.LinuxOption)#$@$#emu.start#$@$#METHOD	java.lang.Thread	start()	null	null	null
net.katsuster.ememu.ui.Main#$@$#mainConsole(net.katsuster.ememu.ui.LinuxOption)#$@$#emu.join#$@$#METHOD	java.lang.Thread	join()	null	null	null
net.katsuster.ememu.ui.Main#$@$#mainConsole(net.katsuster.ememu.ui.LinuxOption)#$@$#e.printStackTrace#$@$#METHOD	java.lang.Throwable	printStackTrace(java.io.PrintStream)	null	null	null
net.katsuster.ememu.ui.Main#$@$#mainConsole(net.katsuster.ememu.ui.LinuxOption)#$@$#java.lang.System.err#$@$#FIELD	java.lang.System	null	err	null	null
